VusersNumber,URL,StartTime,EndTime,ResponseTime[ms]
1,https://www.wp.pl/,20:37:54:115,20:37:54:736,621.055
1,https://www.wp.pl/,20:37:54:801,20:37:55:304,503.887
1,https://www.wp.pl/,20:37:55:358,20:37:55:832,474.67
1,https://www.wp.pl/,20:37:55:910,20:37:56:401,491.271
1,https://www.wp.pl/,20:37:56:472,20:37:57:000,527.844
1,https://www.wp.pl/,20:37:57:073,20:37:57:542,468.216
1,https://www.wp.pl/,20:37:57:593,20:37:58:042,449.176
1,https://www.wp.pl/,20:37:58:098,20:37:58:564,465.825
1,https://www.wp.pl/,20:37:58:624,20:37:59:098,474.026
